Meli id,Item Title,Shop ID,Shopname,Link,L1 Category,Promo Price
MLB-2791503503,VASSOURA MOP SPRAY FLASH LIMP RODO FIT COR CINZAVERDE ,715940109,IE.MAGAZINE LTDA,https://produto.mercadolivre.com.br/MLB-2791503503-vassoura-mop-spray-flash-limp-rodo-fit-cor-cinzaverde-_JM,Home Care,140.16
MLB-2089934318,REVISTA LICOES BIBLICAS JUNIORES 1 TRIMESTRE PROFESSOR CPAD ,661674388,CPADCOMERCIOEDISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-2089934318-revista-licoes-biblicas-juniores-1-trimestre-professor-cpad-_JM,Books & Magazines,11.96
MLB-2688084946,PLACA AUTOMOTIVO ALUMINIO AUTO RELEVO REFLETIVA ,731490131,SANTCLAIRNOBREGAPEREIRA,https://produto.mercadolivre.com.br/MLB-2688084946-placa-automotivo-aluminio-auto-relevo-refletiva-_JM,Books & Magazines,300.33
MLB-724223667,LENTE DE CONTATO ACUVUE 2 JOHNSON INCOLOR COM GRAU ,26819407,MARINE SHOP,https://produto.mercadolivre.com.br/MLB-724223667-lente-de-contato-acuvue-2-johnson-incolor-com-grau-_JM,Health,156.59
MLB-2112885305,KIT 2 LIS IN GOLD GEL ANESTESICO 30G FRETE GRATIS PROMOCO ,614276953,BPV LTDA,https://produto.mercadolivre.com.br/MLB-2112885305-kit-2-lis-in-gold-gel-anestesico-30g-frete-gratis-promoco-_JM,Health,104.58
MLB-905916329,SAUNA PORTATIL AYURVEDICA MOVEL CIGANA BRINDES ,179237119,JANESAUNAMOVEL,https://produto.mercadolivre.com.br/MLB-905916329-sauna-portatil-ayurvedica-movel-cigana-brindes-_JM,Health,1611.42
MLB-3099534931,VIDEO GAME TV HDMI RETR CONSOLE STICK BOX 4K 2 CONTROLES ,466765988,K2LSHOP VIRTUAL,https://produto.mercadolivre.com.br/MLB-3099534931-video-game-tv-hdmi-retr-console-stick-box-4k-2-controles-_JM,Gaming & Consoles,261.3
MLB-3144612450,VIDEO GAME RETRO CONSOLE STICK BOX 4K 100 ORIGINAL ,353157078,NOAH_IMPORTS,https://produto.mercadolivre.com.br/MLB-3144612450-video-game-retro-console-stick-box-4k-100-original-_JM,Gaming & Consoles,227.99
MLB-855666840,CAPA PENIANA MODELADORA CYBER SKIN NERVOSA 18 X 5 ,140562813,PPZSX,https://produto.mercadolivre.com.br/MLB-855666840-capa-peniana-modeladora-cyber-skin-nervosa-18-x-5-_JM,Health,59.42
MLB-2136663007,KIT 10 PRESERVATIVOS CAMISINHA MINGLIU 52 MM TEXTURA 3D ,652396705,OLIST-STORE PREMIUM,https://produto.mercadolivre.com.br/MLB-2136663007-kit-10-preservativos-camisinha-mingliu-52-mm-textura-3d-_JM,Health,67.43
MLB-1647275146,MACA MASSAGEM FIXA BALI SPA BRANCA SALUS ,261805233,SALUS BRASIL,https://produto.mercadolivre.com.br/MLB-1647275146-maca-massagem-fixa-bali-spa-branca-salus-_JM,Health,1319.7
MLB-1492047189,MAQUINA TOSAR TOSQUIADEIRA CARNEIRO OVINO OVELHA 220V ,53212238,LORBEN_OFICIAL,https://produto.mercadolivre.com.br/MLB-1492047189-maquina-tosar-tosquiadeira-carneiro-ovino-ovelha-220v-_JM,Pets,1372.88
